PDB ID,Chain ID,Resolution,Chain Length
"1YOX","F","2.30","250"
"1YOX","B","2.30","250"
"1YOZ","A","2.00","116"
"1YOZ","B","2.00","116"
"1YPH","F","1.34","97"
"1YPH","C","1.34","131"
"1YPH","D","1.34","131"
"1YPH","E","1.34","97"
"1YPQ","A","1.40","135"
"1YPQ","B","1.40","135"
"1YPY","B","1.51","184"
"1YPY","A","1.51","184"
"1YQ5","A","2.00","144"
"1YQ5","B","2.00","144"
"1YQB","A","2.00","100"
"1YQF","B","2.30","203"
"1YQF","C","2.30","203"
"1YQF","D","2.30","203"
"1YQF","E","2.30","203"
"1YQF","A","2.30","203"
"1YQF","F","2.30","203"
"1YQH","A","1.70","109"
"1YQH","B","1.70","109"
"1YRB","A","1.75","262"
"1YRB","B","1.75","262"
"1YRE","A","2.15","197"
"1YRE","B","2.15","197"
"1YRE","C","2.15","197"
"1YRE","D","2.15","197"
"1YRK","A","1.70","126"
"1YRX","A","2.30","121"
"1YRX","B","2.30","121"
"1YRX","C","2.30","121"
"1YSR","B","1.78","150"
"1YSR","C","1.78","150"
"1YSR","A","1.78","150"
"1YT5","D","2.30","258"
"1YT5","A","2.30","258"
"1YT5","B","2.30","258"
"1YT5","C","2.30","258"
"1YTL","D","1.80","174"
"1YTL","A","1.80","174"
"1YTL","B","1.80","174"
"1YTL","C","1.80","174"
"1YTQ","A","1.70","204"
"1YTY","A","2.29","194"
"1YTY","B","2.29","194"
"1YU5","X","1.40","67"
"1YU6","C","1.55","185"
"1YU6","D","1.55","185"
"1YUK","A","1.80","103"
"1YUK","B","1.80","120"
"1YUZ","B","1.40","202"
"1YUZ","A","1.40","202"
"1YW5","A","1.60","177"
"1YWA","A","0.89","184"
"1YWF","A","1.71","296"
"1YWM","A","1.86","200"
"1YX1","A","1.80","264"
"1YX1","B","1.80","264"
"1YX1","C","1.80","264"
"1YYH","B","1.90","253"
"1YYH","A","1.90","253"
"1YYK","A","2.50","221"
"1YYK","B","2.50","221"
"1YYP","A","2.50","290"
"1YYV","A","2.35","131"
"1YYV","B","2.35","131"
"1YZ4","A","2.40","160"
"1YZ4","B","2.40","160"
"1YZ7","A","2.26","188"
"1YZF","A","1.90","195"
"1YZH","A","2.02","214"
"1YZH","B","2.02","214"
"1YZM","A","1.50","51"
"1YZV","A","2.00","204"
"1Z0J","B","1.32","59"
"1Z0K","B","1.92","69"
"1Z0K","D","1.92","69"
"1Z0P","A","1.70","84"
"1Z0S","A","1.70","278"
"1Z0S","B","1.70","278"
"1Z0S","C","1.70","278"
"1Z0S","D","1.70","278"
"1Z0W","A","1.20","207"
"1Z0X","A","2.40","220"
"1Z0X","B","2.40","220"
"1Z1S","A","1.49","163"
"1Z21","A","1.50","112"
"1Z2U","A","1.10","150"
"1Z3C","A","2.20","298"
"1Z3E","A","1.50","132"
"1Z3E","B","1.50","73"
"1Z4E","B","2.00","153"
"1Z4E","A","2.00","153"
"1Z4R","A","1.74","168"
"1Z53","A","1.13","294"
"1Z5Z","B","2.00","271"
"1Z5Z","A","2.00","271"
"1Z67","A","1.45","135"
"1Z6B","D","2.09","154"
"1Z6B","E","2.09","154"
"1Z6B","A","2.09","154"
"1Z6B","F","2.09","154"
"1Z6B","B","2.09","154"
"1Z6B","C","2.09","154"
"1Z6M","A","1.30","175"
"1Z6N","A","1.50","167"
"1Z6O","W","1.91","191"
"1Z6O","N","1.91","191"
"1Z6O","E","1.91","212"
"1Z6O","S","1.91","191"
"1Z6O","J","1.91","212"
"1Z6O","A","1.91","212"
"1Z6O","X","1.91","191"
"1Z6O","O","1.91","191"
"1Z6O","F","1.91","212"
"1Z6O","T","1.91","191"
"1Z6O","K","1.91","212"
"1Z6O","B","1.91","212"
"1Z6O","P","1.91","191"
"1Z6O","G","1.91","212"
"1Z6O","U","1.91","191"
"1Z6O","L","1.91","212"
"1Z6O","C","1.91","212"
"1Z6O","Q","1.91","191"
"1Z6O","H","1.91","212"
"1Z6O","V","1.91","191"
"1Z6O","M","1.91","191"
"1Z6O","D","1.91","212"
"1Z6O","R","1.91","191"
"1Z6O","I","1.91","212"
"1Z6U","A","2.10","150"
"1Z6U","B","2.10","150"
"1Z72","B","1.45","225"
"1Z72","A","1.45","225"
"1Z7C","A","2.00","191"
"1Z7U","A","2.20","112"
"1Z7U","B","2.20","112"
"1Z85","A","2.12","234"
"1Z85","B","2.12","234"
"1Z8H","D","2.02","218"
"1Z8H","A","2.02","218"
"1Z8H","B","2.02","218"
"1Z8H","C","2.02","218"
"1Z94","E","2.10","147"
"1Z94","A","2.10","147"
"1Z94","F","2.10","147"
"1Z94","B","2.10","147"
"1Z94","C","2.10","147"
"1Z94","D","2.10","147"
"1Z98","A","2.10","281"
"1Z98","M","2.10","281"
"1Z9F","A","2.30","153"
"1Z9L","A","1.70","128"
"1Z9M","A","2.40","145"
"1Z9M","B","2.40","145"
"1Z9T","A","1.54","255"
"1ZA0","A","2.00","275"
"1ZA4","A","1.90","251"
"1ZAR","A","1.75","282"
"1ZAT","A","2.40","250"
"1ZAV","A","1.90","180"
"1ZBA","1","2.00","212"
"1ZBA","2","2.00","218"
"1ZBA","4","2.00","85"
"1ZBL","B","2.20","139"
"1ZBL","A","2.20","139"
"1ZBP","A","2.40","273"
"1ZBS","A","2.30","291"
"1ZBX","B","2.50","140"
"1ZC3","B","2.00","113"
"1ZC3","D","2.00","113"
"1ZCE","A","1.30","155"
"1ZCH","A","1.85","255"
"1ZCK","B","1.90","154"
"1ZCK","C","1.90","154"
"1ZCK","A","1.90","154"
"1ZD0","A","1.70","150"
"1ZD7","A","1.70","159"
"1ZD7","B","1.70","159"
"1ZD8","A","1.48","227"
"1ZDN","A","1.93","158"
"1ZDN","B","1.93","158"
"1ZE3","H","1.84","122"
"1ZG1","A","2.30","82"
"1ZG1","B","2.30","82"
"1ZG1","E","2.30","82"
"1ZG1","F","2.30","82"
"1ZG5","B","2.30","82"
"1ZG5","E","2.30","82"
"1ZG5","F","2.30","82"
"1ZG5","A","2.30","82"
"1ZGH","A","2.05","260"
"1ZGX","A","1.13","63"
"1ZH5","A","1.85","195"
"1ZH5","B","1.85","195"
"1ZHS","G","1.80","113"
"1ZHS","C","1.80","113"
"1ZHS","H","1.80","113"
"1ZHS","D","1.80","113"
"1ZHS","E","1.80","113"
"1ZHS","A","1.80","113"
"1ZHS","F","1.80","113"
"1ZHS","B","1.80","113"
"1ZHV","A","1.50","134"
"1ZJR","A","1.85","211"
"1ZK4","A","1.00","251"
"1ZK5","A","1.40","176"
"1ZK8","A","2.15","183"
"1ZK8","B","2.15","183"
"1ZK9","A","2.18","110"
"1ZKE","F","1.60","83"
"1ZKE","B","1.60","83"
"1ZKE","C","1.60","83"
"1ZKE","D","1.60","83"
"1ZKE","E","1.60","83"
"1ZKE","A","1.60","83"
"1ZKI","A","1.70","133"
"1ZKI","B","1.70","133"
"1ZKK","C","1.45","167"
"1ZKK","D","1.45","167"
"1ZKK","A","1.45","167"
"1ZKK","B","1.45","167"
"1ZKO","A","1.65","136"
"1ZKO","B","1.65","136"
"1ZKP","A","1.50","268"
"1ZKP","B","1.50","268"
"1ZKP","C","1.50","268"
"1ZKP","D","1.50","268"
"1ZLD","A","1.65","118"
"1ZLH","B","1.70","75"
"1ZLJ","D","2.00","78"
"1ZLJ","E","2.00","78"
"1ZLJ","A","2.00","78"
"1ZLJ","F","2.00","78"
"1ZLJ","B","2.00","78"
"1ZLJ","G","2.00","78"
"1ZLJ","C","2.00","78"
"1ZLJ","H","2.00","78"
"1ZM1","A","2.30","241"
"1ZM1","B","2.30","241"
"1ZM5","A","2.50","293"
"1ZMA","A","1.25","118"
"1ZMO","F","2.00","244"
"1ZMO","B","2.00","244"
"1ZMO","G","2.00","244"
"1ZMO","C","2.00","244"
"1ZMO","H","2.00","244"
"1ZMO","D","2.00","244"
"1ZMO","E","2.00","244"
"1ZMO","A","2.00","244"
"1ZMT","C","1.70","254"
"1ZMT","D","1.70","254"
"1ZMT","A","1.70","254"
"1ZMT","B","1.70","254"
"1ZN6","A","1.80","227"
"1ZNP","B","2.50","154"
"1ZNP","G","2.50","154"
"1ZNP","C","2.50","154"
"1ZNP","D","2.50","154"
"1ZNP","E","2.50","154"
"1ZNP","A","2.50","154"
"1ZNP","F","2.50","154"
"1ZNW","A","2.10","207"
"1ZO2","A","1.60","129"
"1ZO2","B","1.60","129"
"1ZOQ","A","2.37","191"
"1ZOQ","B","2.37","191"
"1ZPS","A","1.70","138"
"1ZPS","B","1.70","138"
"1ZPV","B","1.90","91"
"1ZPV","C","1.90","91"
"1ZPV","A","1.90","91"
"1ZPW","X","1.64","90"
"1ZQ7","C","2.11","207"
"1ZQ7","D","2.11","207"
"1ZQ7","A","2.11","207"
"1ZQ7","B","2.11","207"
"1ZQ9","A","1.90","285"
"1ZQ9","B","1.90","285"
"1ZR3","A","1.66","211"
"1ZR3","B","1.66","211"
"1ZR3","C","1.66","211"
"1ZR3","D","1.66","211"
"1ZRF","B","2.10","209"
"1ZRF","A","2.10","209"
"1ZRU","A","1.73","264"
"1ZRU","B","1.73","264"
"1ZRU","C","1.73","264"
"1ZS4","A","1.70","83"
"1ZS4","B","1.70","83"
"1ZS4","C","1.70","83"
"1ZS4","D","1.70","83"
"1ZS9","A","1.70","261"
"1ZSO","A","2.17","164"
"1ZSO","B","2.17","164"
"1ZSZ","A","2.00","110"
"1ZT3","A","1.80","80"
"1ZTC","A","2.10","221"
"1ZTC","B","2.10","221"
"1ZTC","C","2.10","221"
"1ZTC","D","2.10","221"
"1ZTD","B","2.00","133"
"1ZTD","A","2.00","133"
"1ZTH","A","1.89","258"
"1ZTH","B","1.89","258"
"1ZTH","C","1.89","258"
"1ZTH","D","1.89","258"
"1ZTT","A","1.85","255"
"1ZTW","A","1.80","255"
"1ZUD","3","1.98","251"
"1ZUD","4","1.98","66"
"1ZUD","1","1.98","251"
"1ZUD","2","1.98","66"
"1ZUH","A","1.80","168"
"1ZUK","A","1.90","68"
"1ZUK","B","1.90","68"
"1ZUO","A","1.80","186"
"1ZUO","B","1.80","186"
"1ZUU","A","0.97","58"
"1ZV1","B","1.60","65"
"1ZV1","A","1.60","65"
"1ZV8","I","1.94","50"
"1ZV8","A","1.94","50"
"1ZV8","K","1.94","50"
"1ZV8","C","1.94","50"
"1ZV8","E","1.94","50"
"1ZV8","G","1.94","50"
"1ZVA","A","1.50","77"
"1ZVN","B","2.16","99"
"1ZVN","A","2.16","99"
"1ZVP","A","2.20","133"
"1ZVP","B","2.20","133"
"1ZVP","C","2.20","133"
"1ZVP","D","2.20","133"
"1ZVT","A","1.70","256"
"1ZVT","B","1.70","256"
"1ZWY","D","1.90","185"
"1ZWY","A","1.90","185"
"1ZWY","B","1.90","185"
"1ZWY","C","1.90","185"
"1ZX3","A","2.50","122"
"1ZX5","A","2.30","300"
"1ZX8","B","1.90","136"
"1ZX8","C","1.90","136"
"1ZX8","A","1.90","136"
"1ZXI","A","1.70","166"
"1ZXI","D","1.70","166"
"1ZXT","B","1.70","76"
"1ZXT","C","1.70","76"
"1ZXT","D","1.70","76"
"1ZXT","A","1.70","76"
"1ZYB","A","2.15","232"
"1ZZI","A","1.80","82"
"1ZZI","B","1.80","82"
"1ZZJ","A","2.30","82"
"1ZZJ","B","2.30","82"
"1ZZJ","C","2.30","82"
"1ZZK","A","0.95","82"
"1ZZM","A","1.80","259"
"1ZZW","A","1.60","149"
"1ZZW","B","1.60","149"
"2A06","F","2.10","110"
"2A06","S","2.10","110"
"2A06","G","2.10","81"
"2A06","T","2.10","81"
"2A06","H","2.10","78"
"2A06","U","2.10","78"
"2A06","I","2.10","78"
"2A06","V","2.10","78"
"2A06","J","2.10","62"
"2A06","W","2.10","62"
"2A0N","A","1.64","265"
"2A10","D","1.80","125"
"2A10","E","1.80","125"
"2A10","A","1.80","125"
"2A10","F","1.80","125"
"2A10","B","1.80","125"
"2A10","C","1.80","125"
"2A14","A","1.70","263"
"2A15","A","1.68","139"
"2A19","A","2.50","175"
"2A1I","A","1.90","146"
"2A1K","A","2.00","233"
"2A1K","B","2.00","233"
"2A1L","A","2.18","270"
"2A1V","A","2.15","144"
"2A22","A","2.20","215"
"2A22","B","2.20","215"
"2A26","B","1.20","50"
"2A26","C","1.20","50"
"2A26","A","1.20","50"
"2A2J","A","2.50","246"
"2A2J","B","2.50","246"
"2A2L","A","2.20","145"
"2A2L","B","2.20","145"
"2A2L","C","2.20","145"
"2A2L","D","2.20","145"
"2A2M","B","1.88","258"
"2A2M","A","1.88","258"
"2A35","A","1.50","215"
"2A35","B","1.50","215"
"2A38","C","2.00","194"
"2A38","A","2.00","194"
"2A38","B","2.00","194"
"2A3M","A","1.50","130"
"2A40","B","1.80","260"
"2A40","E","1.80","260"
"2A4X","A","1.40","138"
"2A4X","B","1.40","138"
"2A50","D","1.30","170"
"2A50","A","1.30","73"
"2A50","B","1.30","170"
"2A50","C","1.30","73"
"2A5Z","A","2.02","262"
"2A5Z","B","2.02","262"
"2A5Z","C","2.02","262"
"2A61","A","1.80","145"
"2A61","B","1.80","145"
"2A61","C","1.80","145"
"2A61","D","1.80","145"
"2A66","A","2.20","113"
"2A67","A","2.00","167"
"2A67","B","2.00","167"
"2A67","C","2.00","167"
"2A67","D","2.00","167"
"2A6C","A","1.90","83"
"2A6C","B","1.90","83"
"2A6H","E","2.40","99"
"2A6H","O","2.40","99"
"2A6M","B","2.40","155"
"2A6M","A","2.40","155"
"2A6P","A","2.20","208"
"2A6P","B","2.20","208"
"2A6Q","C","2.05","86"
"2A6Q","D","2.05","86"
"2A6Q","A","2.05","86"
"2A6Q","B","2.05","86"
"2A6S","C","1.77","84"
"2A6S","D","1.77","84"
"2A6S","A","1.77","84"
"2A6S","B","1.77","84"
"2A6T","A","2.50","271"
"2A6T","B","2.50","271"
"2A6Y","A","1.42","256"
"2A6Z","A","1.00","222"
"2A7B","A","1.65","120"
"2A7K","C","2.24","250"
"2A7K","H","2.24","250"
"2A7K","D","2.24","250"
"2A7K","I","2.24","250"
"2A7K","E","2.24","250"
"2A7K","A","2.24","250"
"2A7K","F","2.24","250"
"2A7K","B","2.24","250"
"2A7K","G","2.24","250"
"2A7L","A","1.82","136"
"2A7L","B","1.82","136"
"2A84","A","1.55","300"
"2A8E","A","2.50","220"
"2A8N","A","1.60","144"
"2A8N","B","1.60","144"
"2A8T","B","2.10","212"
"2A8T","A","2.10","212"
"2A90","A","2.15","240"
"2A9S","A","1.75","171"
"2A9S","B","1.75","171"
"2A9U","B","2.10","144"
"2A9U","A","2.10","144"
"2A9V","D","2.24","212"
"2A9V","A","2.24","212"
"2A9V","B","2.24","212"
"2A9V","C","2.24","212"
"2AAL","E","1.65","131"
"2AAL","A","1.65","131"
"2AAL","F","1.65","131"
"2AAL","B","1.65","131"
"2AAL","C","1.65","131"
"2AAL","D","1.65","131"
"2AAN","A","1.85","139"
"2AAO","B","2.00","166"
"2AAO","A","2.00","166"
"2AB5","A","2.20","269"
"2AB5","B","2.20","269"
"2ABW","A","1.62","227"
"2ABW","B","1.62","227"
"2AC0","A","1.80","200"
"2AC0","B","1.80","200"
"2AC0","C","1.80","200"
"2AC0","D","1.80","200"
"2ACO","A","1.80","173"
"2ACO","B","1.80","173"
"2AD6","B","1.50","69"
"2AD6","D","1.50","69"
"2ADF","A","1.90","196"
"2ADY","A","2.50","200"
"2ADY","B","2.50","200"
"2AE5","A","2.24","166"
"2AEE","A","1.95","211"
"2AEE","B","1.95","211"
"2AEF","A","1.70","234"
"2AEF","B","1.70","234"
"2AEG","C","2.30","268"
"2AEG","A","2.30","268"
"2AEG","B","2.30","268"
"2AF5","A","2.50","297"
"2AFR","A","2.30","231"
"2AG4","A","1.80","164"
"2AG4","B","1.80","164"
"2AGK","A","1.30","260"
"2AH5","A","1.74","210"
"2AHE","A","1.80","267"
"2AHI","B","1.85","200"
"2AHI","C","1.85","200"
"2AHI","D","1.85","200"
"2AHI","A","1.85","200"
"2AHM","G","2.40","203"
"2AHM","H","2.40","203"
"2AHM","E","2.40","203"
"2AHM","F","2.40","203"
"2AHN","A","1.30","222"
"2AHY","B","2.40","110"
"2AHY","A","2.40","110"
"2AIB","A","1.10","98"
"2AIB","B","1.10","98"
"2AJ6","A","1.63","159"
"2AJ7","B","1.67","163"
"2AJ7","A","1.67","163"
"2AK7","A","2.00","86"
"2AK7","B","2.00","86"
"2AKA","B","1.90","299"
"2AKC","B","2.30","230"
"2AKC","C","2.30","230"
"2AKC","D","2.30","230"
"2AKC","A","2.30","230"
"2AKO","B","2.20","251"
"2AKO","C","2.20","251"
"2AKO","D","2.20","251"
"2AKO","A","2.20","251"
"2AKP","A","1.94","186"
"2AKP","B","1.94","186"
"2AN1","A","2.00","292"
"2AN1","B","2.00","292"
"2AN1","C","2.00","292"
"2AN1","D","2.00","292"
"2ANE","A","2.03","125"
"2ANE","F","2.03","125"
"2ANE","B","2.03","125"
"2ANE","G","2.03","125"
"2ANE","C","2.03","125"
"2ANE","H","2.03","125"
"2ANE","D","2.03","125"
"2ANE","E","2.03","125"
"2ANN","A","2.30","178"
"2ANU","A","2.40","255"
"2ANU","F","2.40","255"
"2ANU","B","2.40","255"
"2ANU","C","2.40","255"
"2ANU","D","2.40","255"
"2ANU","E","2.40","255"
"2AO9","I","1.90","155"
"2AO9","E","1.90","155"
"2AO9","A","1.90","155"
"2AO9","F","1.90","155"
"2AO9","B","1.90","155"
"2AO9","G","1.90","155"
"2AO9","C","1.90","155"
"2AO9","H","1.90","155"
"2AO9","D","1.90","155"
"2AOQ","A","2.20","223"
"2AOR","A","2.00","223"
"2AOR","B","2.00","223"
"2AOT","A","1.90","292"
"2AP3","A","1.60","199"
"2APJ","D","1.60","260"
"2APJ","A","1.60","260"
"2APJ","B","1.60","260"
"2APJ","C","1.60","260"
"2APL","A","2.01","157"
"2APO","B","1.95","60"
"2AQ2","A","1.80","112"
"2AQ6","B","1.70","147"
"2AQ6","A","1.70","147"
"2AQX","A","2.50","289"
"2AQX","B","2.50","289"
"2AR1","A","1.60","172"
"2AR3","A","2.20","160"
"2AR3","B","2.20","160"
"2AR3","C","2.20","160"
"2AR5","A","1.80","121"
"2ARK","B","2.40","188"
"2ARK","C","2.40","188"
"2ARK","D","2.40","188"
"2ARK","E","2.40","188"
"2ARK","A","2.40","188"
"2ARK","F","2.40","188"
"2ARO","F","2.10","126"
"2ARO","A","2.10","129"
"2ARO","G","2.10","136"
"2ARO","B","2.10","126"
"2ARO","C","2.10","136"
"2ARO","E","2.10","129"
"2ARP","F","2.00","152"
"2ARZ","A","2.00","247"
"2ARZ","B","2.00","247"
"2ASB","A","1.50","251"
"2ASC","A","1.10","65"
"2ASF","A","1.60","137"
"2ASK","B","1.55","113"
"2ASK","A","1.55","113"
"2AST","C","2.30","69"
"2ATA","D","2.20","200"
"2ATA","A","2.20","200"
"2ATA","B","2.20","200"
"2ATA","C","2.20","200"
"2ATP","D","2.40","115"
"2ATP","A","2.40","122"
"2ATP","B","2.40","115"
"2ATP","C","2.40","122"
"2ATR","A","2.01","138"
"2ATW","A","2.25","251"
"2ATW","C","2.25","251"
"2ATZ","A","2.00","180"
"2AU1","A","2.40","292"
"2AU5","A","2.10","139"
"2AUA","A","2.35","224"
"2AUA","B","2.35","224"
"2AUG","B","2.30","126"
"2AUG","A","2.30","126"
"2AUK","D","2.30","190"
"2AUK","E","2.30","190"
"2AUK","A","2.30","190"
"2AUK","B","2.30","190"
"2AUK","C","2.30","190"
"2AUW","A","1.85","170"
"2AUW","B","1.85","170"
"2AV4","A","1.73","160"
"2AVN","A","2.35","260"
"2AVN","B","2.35","260"
"2AXC","A","1.70","264"
"2AXI","A","1.40","115"
"2AXO","A","1.80","270"
"2AXW","A","1.05","134"
"2AXW","B","1.05","134"
"2AXY","C","1.70","73"
"2AXY","D","1.70","73"
"2AXY","A","1.70","73"
"2AXY","B","1.70","73"
"2AYD","A","1.60","76"
"2AYT","B","2.40","237"
"2AYT","A","2.40","237"
"2AZJ","A","2.40","289"
"2AZJ","B","2.40","289"
"2AZW","A","1.90","148"
"2B06","A","1.40","155"
"2B0A","A","1.45","186"
"2B0C","A","2.00","206"
"2B0D","A","2.00","245"
"2B0D","B","2.00","245"
"2B0E","B","1.90","245"
"2B0E","A","1.90","245"
"2B0V","A","1.55","153"
"2B1K","A","1.90","168"
"2B1L","B","1.90","129"
"2B1L","A","1.90","129"
"2B1R","A","2.20","244"
"2B1X","B","2.00","172"
"2B1X","D","2.00","172"
"2B1X","F","2.00","172"
"2B1Y","A","1.80","104"
"2B2Y","C","2.35","115"
"2B3G","A","1.60","123"
"2B3J","B","2.00","159"
"2B3J","C","2.00","159"
"2B3J","D","2.00","159"
"2B3J","A","2.00","159"
"2B4A","A","2.42","138"
"2B4H","B","1.60","254"
"2B4H","A","1.60","254"
"2B4J","C","2.02","98"
"2B4J","D","2.02","98"
"2B4L","A","2.00","268"
"2B5G","A","1.70","171"
"2B5U","B","2.30","84"
"2B5U","D","2.30","84"
"2B6C","A","2.10","220"
"2B6C","B","2.10","220"
"2B71","A","2.50","196"
"2B7K","A","1.80","200"
"2B7K","B","1.80","200"
"2B7K","C","1.80","200"
"2B7K","D","1.80","200"
"2B7U","A","1.60","257"
"2B82","A","1.25","211"
"2B82","B","1.25","211"
"2B8I","A","1.80","77"
"2B8M","A","1.70","117"
"2B8U","A","1.80","129"
"2B97","A","0.75","71"
"2B97","B","0.75","71"
"2B98","B","2.30","156"
"2B98","C","2.30","156"
"2B98","D","2.30","156"
"2B98","E","2.30","156"
"2B98","A","2.30","156"
"2B9C","A","2.30","147"
"2B9C","B","2.30","147"
"2B9S","B","2.27","62"
"2BA2","C","1.80","85"
"2BA2","A","1.80","85"
"2BA2","B","1.80","85"
"2BAY","D","1.50","61"
"2BAY","E","1.50","61"
"2BAY","A","1.50","61"
"2BAY","F","1.50","61"
"2BAY","B","1.50","61"
"2BAY","C","1.50","61"
"2BB3","A","2.27","221"
"2BB3","B","2.27","221"
"2BBE","A","1.97","108"
"2BBH","A","1.85","269"
"2BBR","A","1.20","195"
"2BC4","C","2.27","211"
"2BC4","D","2.27","211"
"2BC4","A","2.27","211"
"2BC4","B","2.27","211"
"2BCM","C","1.48","165"
"2BCM","A","1.48","165"
"2BCM","B","1.48","165"
"2BDD","A","2.28","182"
"2BDQ","A","2.30","224"
"2BDQ","B","2.30","224"
"2BDR","B","1.60","175"
"2BDR","A","1.60","175"
"2BDT","A","2.40","189"
"2BDY","A","1.61","289"
"2BGV","X","1.90","134"
"2BH1","X","2.40","96"
"2BH1","Y","2.40","96"
"2BH8","A","1.90","101"
"2BH8","B","1.90","101"
"2BHM","B","2.40","164"
"2BHM","C","2.40","164"
"2BHM","D","2.40","164"
"2BHM","E","2.40","164"
"2BHM","A","2.40","164"
"2BJD","A","1.27","101"
"2BJD","B","1.27","101"
"2BJI","A","1.24","277"
"2BJI","B","1.24","277"
